id,name,city,department,lat,lng,address,schedule,desc,phone,district,active
1,IPUC Centro,Bogotá,Cundinamarca,4.60971,-74.08175,"Calle 123 #45-67, Centro, Bogotá","Dom 9am y 11am · Mié 7pm","Sede principal de la IPUC en Bogotá con cultos dominicales y activo programa de jóvenes.",(601) 000-0001,Distrito 01,TRUE
2,IPUC Norte,Bogotá,Cundinamarca,4.65400,-74.04500,"Av. 7 #89-10, Usaquén, Bogotá","Dom 10am · Vie 7pm","Iglesia del norte de Bogotá con actividades para toda la familia y escuela dominical.",(601) 000-0002,Distrito 01,TRUE
3,IPUC Sur,Bogotá,Cundinamarca,4.57090,-74.09720,"Cra 10 #20-30, Tunjuelito, Bogotá","Dom 8am y 10am · Jue 7pm","Sede del sur conocida por su comunidad activa y eventos mensuales de evangelización.",(601) 000-0003,Distrito 01,TRUE
4,IPUC Occidente,Bogotá,Cundinamarca,4.61000,-74.13000,"Calle 45 #30-40, Fontibón, Bogotá","Dom 10am · Mié 7pm","Iglesia con programas de ayuda social a la comunidad del occidente de la ciudad.",(601) 000-0004,Distrito 01,TRUE
5,IPUC Kennedy,Bogotá,Cundinamarca,4.62610,-74.14670,"Cra 78K #42-55, Kennedy, Bogotá","Dom 9am y 6pm · Mar 7pm","Una de las sedes más grandes con ministerio de jóvenes y programa de música.",(601) 000-0005,Distrito 01,TRUE
6,IPUC El Poblado,Medellín,Antioquia,6.21010,-75.56640,"Cra 43A #14-27, El Poblado, Medellín","Dom 10am · Jue 7pm","Sede en El Poblado con ambiente moderno y una comunidad joven muy dinámica.",(604) 444-4906,Distrito 05,TRUE
7,IPUC Laureles,Medellín,Antioquia,6.24600,-75.59100,"Cll 33 #73-15, Laureles, Medellín","Dom 9am y 11am · Mié 7:30pm","Iglesia familiar en el corazón de Laureles con cultos para niños y adultos.",(604) 444-4907,Distrito 05,TRUE
8,IPUC Cali Norte,Cali,Valle del Cauca,3.45160,-76.53200,"Av. 3N #48-20, Cali","Dom 10am · Vie 7pm","Sede principal de Cali con amplio programa misionero y escuela bíblica.",(602) 000-0008,Distrito 10,TRUE
9,IPUC Barranquilla,Barranquilla,Atlántico,10.98780,-74.78890,"Cra 54 #72-30, El Prado, Barranquilla","Dom 9am y 11am · Mié 7pm","Iglesia en la capital del Atlántico con énfasis en evangelismo y trabajo social.",(605) 000-0009,Distrito 20,TRUE
10,IPUC Bucaramanga,Bucaramanga,Santander,7.11930,-73.12270,"Cll 48 #28-15, Cabecera, Bucaramanga","Dom 10am · Jue 7pm","Sede activa en Bucaramanga con ministerios de música y danza.",(607) 000-0010,Distrito 15,TRUE
11,IPUC Pereira,Pereira,Risaralda,4.81330,-75.69610,"Av. 30 de Agosto #40-28, Pereira","Dom 9:30am y 6pm · Mié 7pm","Iglesia del Eje Cafetero con grupos de vida activos y misión social.",(606) 000-0011,Distrito 09,TRUE
12,IPUC Cartagena,Cartagena,Bolívar,10.39100,-75.47940,"Av. Pedro Heredia #31-97, Cartagena","Dom 10am y 6pm · Jue 7pm","Sede en la Ciudad Heroica con ministerio de jóvenes y evangelismo costero.",(605) 000-0012,Distrito 22,TRUE
